river_name,n_days,avg_speed_ms,std_speed_ms,min_speed_ms,max_speed_ms,country,latitude,longitude
Han,18,0.0388,0.025,0.0073,0.1053,South Korea,44.9424,141.5796
Hawea,6,0.0262,0.0098,0.0184,0.0448,New Zealand,-55.3009,180.0
Hong,6,0.16,0.0635,0.0425,0.2235,China,22.9373,118.5563
Hongshui,6,0.1438,0.0285,0.1078,0.1892,China,27.1138,121.9266
Huai,6,0.0113,0.0193,0.0,0.049,China,38.0633,129.711
Huallaga,6,0.033,0.0081,0.021,0.0401,Peru,-8.3094,-85.4043
Hudi,12,0.0678,0.0144,0.0422,0.0952,China,38.3488,132.7865
Humboldt,12,0.0057,0.0026,0.0014,0.0086,United States of America,49.1326,-131.6979
Hurunui,6,0.0514,0.0249,0.0166,0.0772,New Zealand,-52.4205,180.0
Hutt,6,0.0314,0.0095,0.0247,0.0501,New Zealand,-49.9184,180.0
IJssel,6,0.0088,0.0063,0.0022,0.0192,Netherlands,68.7114,6.5207
Igan,6,0.0059,0.0029,0.0014,0.0092,Malaysia,2.5345,124.4718
Iliamna Lake Outlet,6,0.0055,0.0022,0.002,0.0081,United States of America,82.1839,-173.5309
Inangahua,6,0.0358,0.014,0.0201,0.0556,New Zealand,-51.786,180.0
Indalsälven,12,0.003,0.0013,0.0014,0.005,Sweden,90.0,15.501
Indigirka,6,0.0028,0.0015,0.001,0.005,Russia,90.0,167.0137
Indravati,6,0.0314,0.0142,0.0202,0.0573,India,21.0758,89.3532
Irrawaddy Delta,6,0.0643,0.0228,0.0397,0.0948,Myanmar,18.8587,106.2867
Irtysh,6,0.0022,0.001,0.001,0.0036,Russia,86.17,76.6561
Ishim,6,0.0428,0.0323,0.0175,0.1041,Russia,78.6758,79.2969
Ismailiya Canal,6,0.0084,0.0074,0.002,0.019,Egypt,34.9763,34.7735
Ivanhoe,6,0.0405,0.0256,0.0122,0.0723,Canada,61.846,-91.5192
Jing,6,0.1018,0.0208,0.077,0.124,China,40.6791,121.4173
Jiulong,6,0.0234,0.0083,0.013,0.0382,China,27.9185,131.1238
Jubba,6,0.0328,0.0133,0.0191,0.0572,Somalia,-0.2705,47.4565
Jänisjoki,12,0.0034,0.0022,0.001,0.0063,Russia,84.7237,34.7349
Kalix,12,0.0029,0.0011,0.0014,0.0042,Sweden,90.0,22.2362
Kamchatka,6,0.0132,0.0034,0.0092,0.0177,Russia,75.7139,180.0
Kapuas,6,0.0,0.0,0.0,0.0,Indonesia,-0.2623,121.5814
Karamea,6,0.0732,0.0087,0.0636,0.0884,New Zealand,-50.4711,180.0
Katanga,6,0.0073,0.003,0.0022,0.0106,Russia,78.5908,116.1575
Katherine,6,0.0236,0.0202,0.0032,0.053,Australia,-16.3803,146.6246
Kawarau,6,0.0834,0.0169,0.0515,0.0999,New Zealand,-56.0206,180.0
Kayan,6,0.0105,0.0062,0.0032,0.0184,Indonesia,3.2326,130.8492
Kazan,12,0.0133,0.0086,0.001,0.03,Canada,88.8854,-112.6107
Keele,6,0.0027,0.0015,0.001,0.0045,Canada,90.0,-138.9208
Kem,6,0.0023,0.001,0.001,0.0036,Russia,90.0,38.6381
Kemijoki,12,0.0029,0.0011,0.0014,0.0042,Finland,90.0,30.4846
Khatanga,6,0.003,0.0013,0.0014,0.005,Russia,90.0,116.9631
Kheta,6,0.003,0.0013,0.0014,0.005,Russia,90.0,113.6328
Klamath,12,0.0186,0.0124,0.005,0.0355,United States of America,52.0356,-135.7557
Klarälven,12,0.0097,0.0098,0.0,0.0311,Sweden,80.0984,13.7309
Kobuk,6,0.0029,0.0016,0.001,0.005,United States of America,90.0,-180.0
Kokemäenjoki,6,0.0038,0.0028,0.001,0.0082,Finland,87.085,24.1745
Kola,12,0.0024,0.0011,0.001,0.0042,Russia,90.0,37.0602
Kolidam,6,0.0134,0.0031,0.01,0.0184,India,12.0925,87.5839
Kolyma,6,0.0029,0.0016,0.001,0.005,Russia,90.0,178.955
Kong,6,0.0349,0.0096,0.0191,0.0471,Laos,15.1505,118.0341
Kotuy,6,0.003,0.0013,0.0014,0.005,Russia,90.0,114.6305
Kovzha River,12,0.0039,0.0031,0.001,0.0108,Russia,86.1099,40.3909
Koyukuk,6,0.0027,0.0014,0.001,0.0045,United States of America,90.0,-175.5951
Krishna,12,0.0423,0.0171,0.016,0.0713,India,18.1947,87.9392
Krong,6,0.024,0.0046,0.0194,0.0321,Vietnam,14.7705,119.5319
Kukhtuy,6,0.0039,0.0009,0.003,0.0054,Russia,82.2697,159.4232
Kureyka,6,0.002,0.0015,0.0,0.004,Russia,90.0,97.0844
Kuskokwim,6,0.0053,0.0025,0.003,0.0098,United States of America,85.2085,-180.0
Lachlan,12,0.0273,0.0123,0.0141,0.0501,Australia,-40.0541,165.9201
Lancang,6,0.1064,0.1119,0.0311,0.3303,China,20.0348,113.0601
Lek,6,0.026,0.0077,0.0117,0.033,Netherlands,67.5975,5.9345
Lempa,12,0.0248,0.0088,0.0139,0.0386,El Salvador,15.5818,-99.0319
Lena,6,0.0029,0.0015,0.0014,0.0051,Russia,90.0,141.0303
Lerma,12,0.019,0.0068,0.0072,0.0296,Mexico,22.6321,-111.8628
Liard,6,0.0026,0.0013,0.0,0.0036,Canada,87.8495,-135.0043
