river_name,country,date,current_speed_ms,u_ms,v_ms
Ventuari,Venezuela,2024-08-31,,,
Nhamundá,Brazil,2024-08-31,,,
Itiquira,Brazil,2024-08-31,,,
Ivinheima,Brazil,2024-08-31,,,
Verde,Brazil,2024-08-31,,,
Bermejo,Argentina,2024-08-31,,,
Gongola,Nigeria,2024-08-31,,,
Molopo,South Africa,2024-08-31,,,
Auob,Namibia,2024-08-31,,,
Onilahy,Madagascar,2024-08-31,0.019313209007961067,-0.007000000216066837,-0.018000001087784767
Wei,China,2024-08-31,,,
Vakh,Russia,2024-08-31,0.010816654307867659,-0.009000000543892384,-0.006000000052154064
Za’gya,China,2024-08-31,,,
Harirud,Afghanistan,2024-08-31,,,
Yurungkax,China,2024-08-31,,,
Zarafshon,Uzbekistan,2024-08-31,,,
Dali,China,2024-08-31,,,
Jing,China,2024-08-31,0.12397581087531605,-0.027000000700354576,-0.1210000067949295
Dam,China,2024-08-31,,,
Mytinge,Myanmar,2024-08-31,,,
Qin,China,2024-08-31,,,
Ou,China,2024-08-31,0.0,0.0,0.0
Wainganga,India,2024-08-31,0.1759346527682303,-0.03700000047683716,-0.1720000058412552
Toxkan,China,2024-08-31,,,
Banas,India,2024-08-31,,,
Tel,India,2024-08-31,,,
Zayü,China,2024-08-31,,,
Zhang,China,2024-08-31,,,
Orhon,Mongolia,2024-08-31,,,
Cagayan,Philippines,2024-08-31,0.07100704422932645,0.0010000000474974513,0.07100000232458115
Palar,India,2024-08-31,0.07294519014032666,0.06100000441074371,-0.04000000283122063
Tyung,Russia,2024-08-31,0.0014142136295446348,0.0010000000474974513,0.0010000000474974513
Dulgalakh,Russia,2024-08-31,0.0014142136295446348,0.0010000000474974513,0.0010000000474974513
Oloy,Russia,2024-08-31,0.0014142136295446348,0.0010000000474974513,0.0010000000474974513
Bahr Aouk,Central African Republic,2024-08-31,,,
Luan,China,2024-08-31,,,
Udzha,Russia,2024-08-31,0.0022360680837073196,0.0010000000474974513,0.0020000000949949026
Santa,Peru,2024-08-31,0.025298221599417896,-0.00800000037997961,0.024000000208616257
Maputo,South Africa,2024-08-31,0.0730068514695859,-0.017000000923871994,-0.07100000232458115
Mongala,Democratic Republic of the Congo,2024-08-31,,,
Bakoy,Mali,2024-08-31,,,
Liu,China,2024-08-31,0.12965339215917795,-0.013000000268220901,0.1290000081062317
Rong,China,2024-08-31,0.13635615774616572,0.04700000211596489,0.12800000607967377
Komadugu Yobe,Niger,2024-08-31,,,
Komadugu Yobe,Nigeria,2024-08-31,,,
Ugalla,United Republic of Tanzania,2024-08-31,,,
Nen,China,2024-08-31,,,
Casiquiare,Venezuela,2024-08-31,,,
Ibicuí,Brazil,2024-08-31,,,
Wuding,China,2024-08-31,,,
Aksu,China,2024-08-31,,,
Luhit,India,2024-08-31,,,
Kureyka,Russia,2024-08-31,0.0010000000474974513,0.0,0.0010000000474974513
Uda,Russia,2024-08-31,,,
Tumnin,Russia,2024-08-31,,,
Poronay,Russia,2024-08-31,,,
Kouilou,Republic of the Congo,2024-08-31,,,
Asahan,Indonesia,2024-08-31,0.03220248549000824,-0.014000000432133675,-0.029000001028180122
Fimi,Democratic Republic of the Congo,2024-08-31,,,
Luapula,Zambia,2024-08-31,,,
Malagarasi,United Republic of Tanzania,2024-08-31,,,
Di’er Songhua,China,2024-08-31,0.2185040100764098,-0.08800000697374344,-0.20000000298023224
Kolidam,India,2024-08-31,0.01838477724740184,-0.007000000216066837,0.017000000923871994
Jhelum,Pakistan,2024-08-31,,,
Jhelum,Pakistan,2024-08-31,,,
Guaporé,Brazil,2024-08-31,,,
Kabalebo,Suriname,2024-08-31,,,
Katanga,Russia,2024-08-31,0.00538516517100502,0.005000000353902578,0.0020000000949949026
Kaduna,Nigeria,2024-08-31,,,
Ouémé,Benin,2024-08-31,,,
Ouémé,Benin,2024-08-31,,,
Komoé,Ivory Coast,2024-08-31,,,
Chulym,Russia,2024-08-31,0.04465422772719736,0.02500000037252903,-0.03700000047683716
Verkhnyaya Taymyra,Russia,2024-08-31,0.0022360680837073196,0.0010000000474974513,0.0020000000949949026
Vitim,Russia,2024-08-31,0.00538516517100502,0.0020000000949949026,0.005000000353902578
Fuchun,China,2024-08-31,,,
Fuchun,China,2024-08-31,,,
Mae Klong,Thailand,2024-08-31,0.027073973446820235,0.027000000700354576,0.0020000000949949026
Mae Klong,Thailand,2024-08-31,0.03443835219568072,0.03100000135600567,0.015000000596046448
Yom,Thailand,2024-08-31,0.01910497442930735,-0.0020000000949949026,-0.01900000125169754
Yom,Thailand,2024-08-31,0.03100000135600567,0.0,0.03100000135600567
Cunene,Angola,2024-08-31,,,
Cunene,Angola,2024-08-31,,,
Río Negro,Uruguay,2024-08-31,,,
Río Negro,Uruguay,2024-08-31,,,
Paranapanema,Brazil,2024-08-31,,,
Paranapanema,Brazil,2024-08-31,,,
Tana,Kenya,2024-08-31,,,
Tana,Kenya,2024-08-31,,,
Rusizi,United Republic of Tanzania,2024-08-31,,,
Rusizi,Democratic Republic of the Congo,2024-08-31,,,
Cauvery,India,2024-08-31,0.07666159413654801,0.06599999964237213,0.039000000804662704
Cauvery,India,2024-08-31,0.029000001028180122,0.0,0.029000001028180122
Chambal,India,2024-08-31,,,
Chambal,India,2024-08-31,,,
Zeya,Russia,2024-08-31,,,
Zeya,Russia,2024-08-31,,,
Pangani,United Republic of Tanzania,2024-08-31,0.04176122877743246,0.04000000283122063,-0.012000000104308128
Pangani,United Republic of Tanzania,2024-08-31,0.093037633718497,0.04000000283122063,0.08400000631809235
Caroní,Venezuela,2024-08-31,,,
Caroní,Venezuela,2024-08-31,,,
Bandama,Ivory Coast,2024-08-31,,,
Bandama,Ivory Coast,2024-08-31,,,
Hudi,China,2024-08-31,0.06887670439136144,0.030000001192092896,-0.06200000271201134
Hudi,China,2024-08-31,0.0421900493822869,-0.004000000189989805,-0.04200000315904617
Ping,Thailand,2024-08-31,,,
Ping,Thailand,2024-08-31,0.004242640723997777,-0.003000000026077032,-0.003000000026077032
Ile,Kazakhstan,2024-08-31,,,
Ile,Kazakhstan,2024-08-31,,,
Sanggan,China,2024-08-31,,,
Sanggan,China,2024-08-31,,,
Wujia,China,2024-08-31,,,
Wujia,China,2024-08-31,,,
Trombetas,Brazil,2024-08-31,,,
Trombetas,Brazil,2024-08-31,,,
Nizhnyaya Taymyra,Russia,2024-08-31,0.0022360680837073196,0.0010000000474974513,0.0020000000949949026
Nizhnyaya Taymyra,Russia,2024-08-31,0.0022360680837073196,0.0010000000474974513,0.0020000000949949026
Gambia,Senegal,2024-08-31,0.015000000409781937,0.009000000543892384,0.012000000104308128
Apure,Venezuela,2024-08-31,,,
Jari,Brazil,2024-08-31,,,
Napo,Peru,2024-08-31,0.014000000432133675,0.0,0.014000000432133675
Juruá,Brazil,2024-08-31,,,
Parnaíba,Brazil,2024-08-31,,,
Bandama Blanc,Ivory Coast,2024-08-31,,,
Bomu,Democratic Republic of the Congo,2024-08-31,,,
Mbam,Cameroon,2024-08-31,,,
Aïna,Gabon,2024-08-31,,,
Cuanza,Angola,2024-08-31,,,
Cuando,Angola,2024-08-31,,,
Marico,Botswana,2024-08-31,,,
Luwegu,United Republic of Tanzania,2024-08-31,0.06236986888782512,0.06100000441074371,-0.013000000268220901
Akobo,Ethiopia,2024-08-31,,,
Ghäghara,India,2024-08-31,,,
Chindwin,Myanmar,2024-08-31,,,
Krong,Vietnam,2024-08-31,0.025079874439361622,-0.010000000707805157,0.023000001907348633
Wu,China,2024-08-31,,,
Xiang,China,2024-08-31,0.13140016023595363,0.1290000081062317,-0.02500000037252903
Huai,China,2024-08-31,0.049000002443790436,-0.049000002443790436,0.0
Ingoda,Russia,2024-08-31,,,
Olëkma,Russia,2024-08-31,0.004000000189989805,0.004000000189989805,0.0
Künes,China,2024-08-31,,,
