river_name,country,original_lat,original_lon,adjusted_lon,used_lat,used_lon,date,u_ms,v_ms,current_speed_ms,was_clamped,file_source,depth_type
Tonle Sap,Cambodia,14.7564366888082,115.42428830583532,115.42428830583532,14.7564366888082,115.42428830583532,2024-08-31,-0.02500000037252903,0.032999999821186066,0.04140048317139224,False,uv3z_08-31-2024.nc4,bottom
Tonle Sap,Cambodia,12.90604024992757,116.83111011282334,116.83111011282334,12.90604024992757,116.83111011282334,2024-08-31,0.003000000026077032,0.004000000189989805,0.005000000167638064,False,uv3z_08-31-2024.nc4,bottom
Maningory,Madagascar,-19.54296487616503,54.09768508100345,54.09768508100345,-19.54296487616503,54.09768508100345,2024-08-31,-0.0010000000474974513,-0.0010000000474974513,0.0014142136295446348,False,uv3z_08-31-2024.nc4,bottom
Maningory,Madagascar,-19.54296487616503,54.09768508100345,54.09768508100345,-19.54296487616503,54.09768508100345,2024-08-31,-0.0010000000474974513,-0.0010000000474974513,0.0014142136295446348,False,uv3z_08-31-2024.nc4,bottom
Bois,Brazil,-20.97997261418931,-55.71083930354386,304.2891606964561,-20.97997261418931,304.2891606964561,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Bois,Brazil,-20.59480381231932,-55.777968000384526,304.22203199961547,-20.59480381231932,304.22203199961547,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Cauca,Colombia,10.47039205159124,-83.21115630231165,276.7888436976883,10.47039205159124,276.7888436976883,2024-08-31,0.0,0.0,0.0,False,uv3z_08-31-2024.nc4,bottom
Cojedes,Venezuela,8.86759806413385,-75.28461608593132,284.7153839140687,8.86759806413385,284.7153839140687,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Vaupés,Brazil,0.06572807056038771,-74.8659993582241,285.1340006417759,0.06572807056038771,285.1340006417759,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Santiago,Ecuador,-5.4431953652749,-85.08711801410278,274.91288198589723,-5.4431953652749,274.91288198589723,2024-08-31,-0.04500000178813934,0.005000000353902578,0.04527692750697169,False,uv3z_08-31-2024.nc4,bottom
Aripuanã,Brazil,-5.7000095945820135,-67.23039545750345,292.76960454249655,-5.7000095945820135,292.76960454249655,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Teles Pires,Brazil,-12.226861131287174,-65.30662832962213,294.69337167037787,-12.226861131287174,294.69337167037787,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Unini,Brazil,-1.870893059746523,-68.38604179234514,291.61395820765483,-1.870893059746523,291.61395820765483,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Ajajú,Colombia,-1.3268610236981622,-77.31687623315999,282.68312376684,-1.3268610236981622,282.68312376684,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Jutaí,Brazil,-2.9959562654690925,-74.31587017545127,285.68412982454873,-2.9959562654690925,285.68412982454873,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Rio das Mortes,Brazil,-13.084671498176927,-56.45833229055025,303.54166770944977,-13.084671498176927,303.54166770944977,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Miranda,Brazil,-21.883680576951825,-63.83487921220804,296.165120787792,-21.883680576951825,296.165120787792,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
